stage,fold,epoch,train_loss,valid_loss,valid_auc,lr,epoch_time_sec,is_best
1,1,1,1.11965,0.42476,0.9084,1.2e-05,78.1,True
1,1,2,0.29769,0.32652,0.95104,0.00015725,74.2,True
1,1,3,0.27326,0.18797,0.96563,0.0003,79.9,True
1,1,4,0.15357,0.24771,0.97573,0.00029767,71.0,True
1,1,5,0.12048,0.2325,0.97111,0.00029086,83.1,False
1,1,6,0.09619,0.22882,0.96926,0.00027976,72.0,False
1,1,7,0.07191,0.23442,0.97183,0.00026472,72.3,False
1,1,8,0.1024,0.19091,0.97207,0.0002462,71.5,False
1,1,9,0.04611,0.22004,0.97318,0.00022475,73.8,False
1,1,10,0.03268,0.23101,0.97585,0.00020103,71.0,True
1,1,11,0.02996,0.21556,0.97914,0.00017576,70.8,True
1,1,12,0.02197,0.24115,0.97511,0.00014971,73.6,False
1,1,13,0.01328,0.24335,0.97111,0.00012367,71.3,False
1,1,14,0.01359,0.24169,0.97661,9.843e-05,72.4,False
1,1,15,0.00628,0.25922,0.97692,7.475e-05,75.5,False
1,1,16,0.00607,0.24767,0.97571,5.336e-05,87.7,False
1,1,17,0.00525,0.25136,0.9755,3.491e-05,71.4,False
1,1,18,0.00643,0.255,0.97561,1.995e-05,90.1,False
1,1,19,0.01362,0.2373,0.9767,8.95e-06,70.9,False
1,1,20,0.00516,0.25751,0.97574,2.23e-06,101.8,False
1,2,1,1.14586,0.45199,0.87194,1.2e-05,92.3,True
1,2,2,0.34229,0.17838,0.97413,0.00015725,70.7,True
1,2,3,0.23909,0.25389,0.96879,0.0003,70.9,False
1,2,4,0.19326,0.3469,0.96701,0.00029767,83.8,False
1,2,5,0.16911,0.12933,0.9805,0.00029086,95.1,True
1,2,6,0.1016,0.14852,0.97935,0.00027976,71.7,False
1,2,7,0.0833,0.14118,0.96878,0.00026472,71.5,False
1,2,8,0.0565,0.12939,0.98615,0.0002462,71.0,True
1,2,9,0.06808,0.1216,0.98908,0.00022475,91.6,True
1,2,10,0.04894,0.13906,0.98759,0.00020103,73.6,False
1,2,11,0.03644,0.21046,0.97352,0.00017576,77.3,False
1,2,12,0.02063,0.19933,0.98423,0.00014971,72.7,False
1,2,13,0.02609,0.17449,0.98501,0.00012367,71.6,False
1,2,14,0.01449,0.1542,0.98814,9.843e-05,77.4,False
1,2,15,0.01268,0.1564,0.98924,7.475e-05,91.1,True
1,2,16,0.01234,0.14702,0.99335,5.336e-05,71.1,True
1,2,17,0.00913,0.14861,0.98909,3.491e-05,76.7,False
1,2,18,0.00697,0.15699,0.98919,1.995e-05,71.3,False
1,2,19,0.0058,0.16441,0.98846,8.95e-06,72.2,False
1,2,20,0.00561,0.16014,0.99026,2.23e-06,70.8,False
1,3,1,1.13072,0.48303,0.88479,1.2e-05,73.1,True
1,3,2,0.35185,0.31839,0.94665,0.00015725,71.3,True
1,3,3,0.24865,0.19568,0.97852,0.0003,71.1,True
1,3,4,0.19567,0.23351,0.97111,0.00029767,70.8,False
1,3,5,0.1609,0.18639,0.97177,0.00029086,71.1,False
1,3,6,0.09285,0.19954,0.97616,0.00027976,72.4,False
1,3,7,0.0851,0.18596,0.98108,0.00026472,72.1,True
1,3,8,0.0504,0.20959,0.96692,0.0002462,72.9,False
1,3,9,0.03626,0.17076,0.97894,0.00022475,74.3,False
1,3,10,0.0575,0.21237,0.97469,0.00020103,78.8,False
1,3,11,0.03996,0.16224,0.98616,0.00017576,75.2,True
1,3,12,0.02598,0.14512,0.98577,0.00014971,80.5,False
1,3,13,0.0173,0.19437,0.98555,0.00012367,72.6,False
1,3,14,0.00439,0.19147,0.98463,9.843e-05,71.5,False
1,3,15,0.00683,0.18464,0.98948,7.475e-05,77.1,True
1,3,16,0.01132,0.18636,0.98623,5.336e-05,81.8,False
1,3,17,0.00889,0.1789,0.98598,3.491e-05,73.4,False
1,3,18,0.01165,0.1674,0.98863,1.995e-05,70.9,False
1,3,19,0.00469,0.16244,0.98849,8.95e-06,76.0,False
1,3,20,0.02266,0.16294,0.98826,2.23e-06,78.7,False
1,4,1,1.13146,0.42379,0.92913,1.2e-05,71.0,True
1,4,2,0.35188,0.20781,0.96879,0.00015725,71.9,True
1,4,3,0.22136,0.26514,0.96408,0.0003,73.3,False
1,4,4,0.19366,0.39547,0.93634,0.00029767,72.1,False
1,4,5,0.15107,0.18624,0.97487,0.00029086,71.2,True
1,4,6,0.1318,0.28929,0.95493,0.00027976,76.9,False
1,4,7,0.09891,0.19,0.9678,0.00026472,73.4,False
1,4,8,0.08705,0.18201,0.97483,0.0002462,74.3,False
1,4,9,0.07965,0.17124,0.98133,0.00022475,71.0,True
1,4,10,0.05114,0.18262,0.97912,0.00020103,85.9,False
1,4,11,0.02997,0.23513,0.96776,0.00017576,71.2,False
1,4,12,0.02291,0.2229,0.98034,0.00014971,76.9,False
1,4,13,0.0151,0.1908,0.98366,0.00012367,71.2,True
1,4,14,0.01068,0.20455,0.97924,9.843e-05,74.4,False
1,4,15,0.01428,0.23482,0.97726,7.475e-05,74.8,False
1,4,16,0.00574,0.22122,0.98154,5.336e-05,71.1,False
