Plant Pathology 2020 — лог лучшего фолда
Модель: seresnext50_32x4d, Размер: 320x512
Лучший фолд: 5, AUC: 0.99772
Средний CV AUC: 0.98869

Epoch   TrainLoss   ValidLoss   ValidAUC           LR
-------------------------------------------------------
    1     1.10669     0.41112    0.92288   0.00001200 *
    2     0.31759     0.21107    0.96111   0.00015725 *
    3     0.22358     0.24906    0.97699   0.00030000 *
    4     0.20077     0.24222    0.96978   0.00029767
    5     0.14628     0.15022    0.98854   0.00029086 *
    6     0.13385     0.22964    0.96777   0.00027976
    7     0.08859     0.18352    0.98587   0.00026472
    8     0.08386     0.09380    0.99432   0.00024620 *
    9     0.04151     0.16291    0.98837   0.00022475
   10     0.03891     0.18999    0.98256   0.00020103
   11     0.04729     0.11467    0.99407   0.00017576
   12     0.02299     0.13930    0.99591   0.00014971 *
   13     0.02496     0.13852    0.99420   0.00012367
   14     0.01751     0.10032    0.99654   0.00009843 *
   15     0.01577     0.07544    0.99772   0.00007475 *
   16     0.00433     0.08537    0.99709   0.00005336
   17     0.00902     0.07627    0.99749   0.00003491
   18     0.00841     0.09827    0.99679   0.00001995
   19     0.00341     0.09204    0.99705   0.00000895
   20     0.00380     0.08542    0.99718   0.00000223
